#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
mnxr102560c19	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102560c3	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102561c19	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102561c3	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102562c19	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102562c3	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102567c19	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102567c3	PGPA_ECOLI;PGPB_ECOLI	-1000	0	RL
mnxr102590c3	PGSA_ECOLI	-1000	0	RL
mnxr102591c3	PGSA_ECOLI	-1000	0	RL
mnxr102596c3	PGSA_ECOLI	-1000	0	RL
mnxr102624c3c19	CCMA_ECOLI+CCMB_ECOLI+CCMC_ECOLI+CCMD_ECOLI+CCME_ECOLI	-1000	0	RL
mnxr102625c2b		0	1000	LR
mnxr102625c2c19		0	1000	LR
mnxr102637c2b		0	1000	LR
mnxr102637c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr102637c3c19	YDDG_ECOLI	-1000	0	RL
mnxr102870c3c19	PSTA_ECOLI+PSTB_ECOLI+PSTC_ECOLI+PSTS_ECOLI	-1000	0	RL
mnxr102872c3c19	PITA_ECOLI;PITB_ECOLI	0	1000	LR
mnxr102967c19	PA1_ECOLI	-1000	0	RL
mnxr102968c19	PA1_ECOLI	-1000	0	RL
mnxr102969c19	PA1_ECOLI	-1000	0	RL
mnxr102971c19	PA1_ECOLI	-1000	0	RL
mnxr102973c19	PA1_ECOLI	-1000	0	RL
mnxr102974c19	PA1_ECOLI	-1000	0	RL
mnxr102975c19	PA1_ECOLI	-1000	0	RL
mnxr102976c19	PA1_ECOLI	-1000	0	RL
mnxr102977c19	PA1_ECOLI	-1000	0	RL
mnxr102978c19	PA1_ECOLI	-1000	0	RL
mnxr102980c19	PA1_ECOLI	-1000	0	RL
mnxr102981c19	PA1_ECOLI	0	1000	LR
mnxr102982c19	PA1_ECOLI	-1000	0	RL
mnxr102983c19	PA1_ECOLI	-1000	0	RL
mnxr102984c19	PA1_ECOLI	-1000	0	RL
mnxr102985c19	PA1_ECOLI	-1000	0	RL
mnxr102986c19	PA1_ECOLI	-1000	0	RL
mnxr102987c19	PA1_ECOLI	-1000	0	RL
mnxr102989c19	PA1_ECOLI	-1000	0	RL
mnxr102990c19	PA1_ECOLI	-1000	0	RL
mnxr102991c19	PA1_ECOLI	-1000	0	RL
mnxr102993c19	PA1_ECOLI	-1000	0	RL
mnxr102995c19	PA1_ECOLI	-1000	0	RL
mnxr102996c19	PA1_ECOLI	-1000	0	RL
mnxr102997c19	PA1_ECOLI	-1000	0	RL
mnxr102998c19	PA1_ECOLI	-1000	0	RL
mnxr102999c19	PA1_ECOLI	-1000	0	RL
mnxr103000c19	PA1_ECOLI	-1000	0	RL
mnxr103002c19	PA1_ECOLI	-1000	0	RL
mnxr103003c19	PA1_ECOLI	0	1000	LR
mnxr103004c19	PA1_ECOLI	-1000	0	RL
mnxr103005c19	PA1_ECOLI	-1000	0	RL
mnxr103006c19	PA1_ECOLI	-1000	0	RL
mnxr103007c19	PA1_ECOLI	-1000	0	RL
mnxr103008c19	PA1_ECOLI	-1000	0	RL
mnxr103009c19	PA1_ECOLI	-1000	0	RL
mnxr103045c3	THID_ECOLI	-1000	0	RL
mnxr103050c3	COAA_ECOLI	-1000	0	RL
mnxr103051c2b		0	1000	LR
mnxr103051c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103054c3c19	PANF_ECOLI	0	1000	LR
mnxr103056c3	RUTC_ECOLI	0	1000	LR
mnxr103064c3	FLAV_ECOLI+NIFJ_ECOLI;FLAW_ECOLI+NIFJ_ECOLI	-1000	1000	B
mnxr103067c3	POXB_ECOLI	-1000	0	RL
mnxr103069c3	PPX_ECOLI;SURE_ECOLI	-1000	0	RL
mnxr103071c2b		0	1000	LR
mnxr103071c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103071c3c19		-1000	1000	B
mnxr103093c3c19	PUTP_ECOLI	0	1000	LR
mnxr103094c2b		0	1000	LR
mnxr103094c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103095c3	HEM2_ECOLI	-1000	0	RL
mnxr103096c3	CAPP_ECOLI	0	1000	LR
mnxr103098c3	COABC_ECOLI	-1000	0	RL
mnxr103099c3	PCKA_ECOLI	-1000	0	RL
mnxr103108c3	YAHK_ECOLI	0	1000	LR
mnxr103113c3	PPK1_ECOLI	0	1000	LR
mnxr103114c3	PPK1_ECOLI	-1000	0	RL
mnxr103135c3c19	HCAT_ECOLI	-1000	1000	B
mnxr103136c2b		0	1000	LR
mnxr103136c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103140c3	PPSA_ECOLI	-1000	0	RL
mnxr103149c19	PPB_ECOLI	-1000	0	RL
mnxr103151c2b		0	1000	LR
mnxr103151c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103156c3	TRPC_ECOLI	-1000	0	RL
mnxr103169c3	HIS4_ECOLI	-1000	1000	B
mnxr103197c3c19	PUTP_ECOLI	0	1000	LR
mnxr103210c3c19	PROV_ECOLI+PROW_ECOLI+PROX_ECOLI	0	1000	LR
mnxr103226c3	AROA_ECOLI	-1000	1000	B
mnxr103227c3c19	FRLA_ECOLI	0	1000	LR
mnxr103228c2b		0	1000	LR
mnxr103228c2c19	OMPC_ECOLI;OMPF_ECOLI;OMPN_ECOLI;PHOE_ECOLI	-1000	1000	B
mnxr103229c3	PSD_ECOLI	-1000	0	RL
mnxr103230c3	PSD_ECOLI	-1000	0	RL
mnxr103231c3	PSD_ECOLI	-1000	0	RL
mnxr103233c3	PSD_ECOLI	-1000	0	RL
mnxr103235c3	PSD_ECOLI	-1000	0	RL
mnxr103266c3	PSS_ECOLI	-1000	0	RL
mnxr103267c3	PSS_ECOLI	-1000	0	RL
mnxr103268c3	PSS_ECOLI	-1000	0	RL
mnxr103270c3	PSS_ECOLI	-1000	0	RL
