#MetaNetX/TSV/enzymes.tsv 1.1
#reac_ID	complex	LB	UB	direction
BIOMASS_EXT		0	1000	LR
BIOMASS_Ec_iML1515_WT_75p37M		0	0	LR
BIOMASS_Ec_iML1515_core_75p37M		0	1000	LR
BMOCOS	b0827	0	1000	LR
BMOGDS1	b3856+b3857;b3857	0	1000	LR
BMOGDS2	b3856+b3857;b3857	0	1000	LR
BPNT	b4214	0	1000	LR
BSORx	b3551	0	1000	LR
BSORy	b3551	0	1000	LR
BTNt2ipp		0	1000	LR
BTNtex	b0241;b0929;b1377;b2215	-1000	1000	B
BTS5	b0775	0	1000	LR
BUTCT	b2221+b2222	0	1000	LR
BUTSO3abcpp	b0365+b0366+b0367;b0933+b0934+b0936	0	1000	LR
BUTSO3tex	b0241;b0929;b1377;b2215	-1000	1000	B
BUTt2rpp	b2223	-1000	1000	B
BUTtex	b0241;b0929;b1377;b2215	-1000	1000	B
BWCOGDS1	b3856+b3857;b3857	0	1000	LR
BWCOGDS2	b3856+b3857;b3857	0	1000	LR
BWCOS	b0827	0	1000	LR
CA2t3pp	b1216	0	1000	LR
CA2tex	b0241;b0929;b1377;b2215	-1000	1000	B
CADVtpp	b4132	0	1000	LR
