#SOLVER	GUROBI
#METHOD	
#TOLERANCE	1e-08
#GROWTH	0.876992529900906	BIOMASS_Ec_iML1515_core_75p37M
#GROWTH_SUB	0.876992529900903	BIOMASS_Ec_iML1515_core_75p37M
EX_pser__L_e	a
EX_ptrc_e	A
EX_pydam_e	a
EX_pydx_e	a
EX_pydxn_e	a
EX_pyr_e	A
EX_quin_e	a
EX_r5p_e	a
EX_rfamp_e	B
EX_rib__D_e	a
EX_rmn_e	a
EX_sbt__D_e	a
EX_sel_e	b
EX_ser__D_e	a
EX_ser__L_e	A
EX_skm_e	a
EX_slnt_e	b
EX_so2_e	B
EX_so3_e	a
EX_so4_e	A
EX_spmd_e	A
EX_sq_e	a
EX_succ_e	A
EX_sucr_e	B
EX_sulfac_e	a
EX_tartr__D_e	a
EX_tartr__L_e	a
EX_taur_e	a
EX_tcynt_e	a
EX_thm_e	a
EX_thr__L_e	A
EX_thrp_e	a
EX_thym_e	A
EX_thymd_e	A
EX_tma_e	a
EX_tmao_e	a
EX_tre_e	a
EX_trp__L_e	A
EX_tsul_e	a
EX_ttdca_e	a
EX_ttdcea_e	a
EX_ttrcyc_e	B
EX_tungs_e	B
EX_tym_e	a
EX_tyr__L_e	A
EX_tyrp_e	a
EX_uacgam_e	a
EX_udpacgal_e	a
EX_udpg_e	a
EX_udpgal_e	a
EX_udpglcur_e	a
EX_ump_e	a
EX_ura_e	A
EX_urate_e	a
EX_urea_e	A
EX_uri_e	A
EX_val__L_e	A
EX_xan_e	A
EX_xmp_e	a
EX_xtsn_e	A
EX_xyl__D_e	a
EX_xylu__L_e	a
EX_zn2_e	A
F1PP	a
F6PA	A
F6PP	A
F6Pt6_2pp	a
F6Ptex	a
FA100ACPHi	A
FA120ACPHi	A
FA140ACPHi	A
FA141ACPHi	A
FA160ACPHi	A
FA161ACPHi	A
FA80ACPHi	A
FACOAE100	A
FACOAE120	A
FACOAE140	A
FACOAE141	A
FACOAE160	A
FACOAE161	A
FACOAE180	A
FACOAE181	A
FACOAE60	A
FACOAE80	A
FACOAL100t2pp	a
FACOAL120t2pp	A
FACOAL140t2pp	A
FACOAL141t2pp	A
FACOAL160t2pp	A
FACOAL161t2pp	A
FACOAL180t2pp	A
FACOAL181t2pp	A
FACOAL60t2pp	A
FACOAL80t2pp	a
FADRx	A
FADRx2	A
FADt	A
FADtex	A
FALDH2	a
FALDtex	a
FALDtpp	a
FALGTHLs	a
FBA	A
FBA3	A
FBP	A
FCI	a
FCLK	a
FCLPA	a
FCLT	A
FDH4pp	A
FDH5pp	A
FDMO	a
FDMO2	a
FDMO3	a
FDMO4	a
FDMO6	a
FE2abcpp	A
FE2t2pp	A
FE2t3pp	A
FE2tex	A
FE2tpp	A
FE3DCITR5	B
FE3DCITabcpp	A
FE3DCITexs	A
FE3DCITtonex	A
FE3DHBZS3R	B
FE3DHBZStonex	B
FE3HOXR1	A
FE3HOXR2	A
FE3HOXR3	A
FE3HOXUtex	A
FE3HOXUtpp	A
FE3HOXabcpp	A
FE3HOXexs	A
FE3HOXtonex	A
FE3Ri	A
FE3abcpp	A
FE3tex	A
FECRMR1	A
FECRMR2	A
FECRMR3	A
FECRMUtex	A
FECRMUtpp	A
FECRMabcpp	A
FECRMexs	A
FECRMtonex	A
FEENTERES	B
FEENTERR1	A
FEENTERR2	A
FEENTERR3	A
FEENTERR4	A
FEENTERabcpp	A
FEENTERexs	A
FEENTERtex	A
FEENTERtonex	A
FEENTERtpp	A
FEOXAMR1	A
FEOXAMR2	A
FEOXAMR3	A
FEOXAMUtex	A
FEOXAMUtpp	A
FEOXAMabcpp	A
FEOXAMexs	A
FEOXAMtonex	A
FEROpp	A
FESD1s	A
FESD2s	a
FESR	A
FHL	b
FLDR2	A
FLVR	A
FLVRx	A
FMNAT	A
FMNRx	A
FMNRx2	A
FMNt	A
FMNtex	A
FOMETRi	A
FORCT	B
FORt2pp	A
FORtex	A
FORtppi	A
FRD2	A
FRD3	A
FRUK	a
FRULYSDG	a
FRULYSE	a
FRULYSK	a
FRULYSt2pp	a
FRULYStex	a
FRUURt2rpp	a
FRUURtex	a
FRUpts2pp	a
FRUptspp	a
FRUtex	a
FTHFD	A
FTHFLi	A
FUCtex	a
FUCtpp	a
FUM	A
FUMt1pp	A
FUMt2_2pp	A
FUMt2_3pp	A
FUMtex	A
FUSAtex	A
FUSAtpp	A
Ftex	B
Ftpp	B
G1PACT	A
G1PP	A
G1PPpp	a
G1PTT	A
G1Ptex	a
G1SAT	A
G2PP	a
G2PPpp	a
G3PAT120	A
G3PAT140	A
G3PAT141	A
G3PAT160	A
G3PAT161	A
G3PAT180	A
G3PAT181	A
G3PCabcpp	a
G3PCtex	a
G3PD2	A
G3PD5	A
G3PD6	A
G3PD7	A
G3PEabcpp	A
G3PEtex	A
G3PGabcpp	A
G3PGtex	A
G3PIabcpp	a
G3PItex	a
G3PSabcpp	a
G3PStex	a
G3PT	A
G5SADs	A
G5SD	A
G6PDA	A
G6PDH2r	A
G6PP	A
G6Pt6_2pp	a
G6Ptex	a
GAL1PPpp	a
GAL1Ptex	a
GALBDtex	a
GALCTD	a
GALCTLO	a
GALCTND	a
GALCTNLt2pp	a
GALCTNLtex	a
GALCTNt2pp	a
GALCTNtex	a
GALCTt2rpp	a
GALCTtex	a
GALKr	a
GALM2pp	a
GALS3	a
GALT1	A
GALTptspp	a
GALTtex	a
GALURt2rpp	a
GALURtex	a
GALUi	A
GALabcpp	a
GALt2pp	a
GALtex	a
GAM6Pt6_2pp	a
GAMAN6Ptex	a
GAMptspp	a
GAMtex	a
GAPD	A
GAPP	A
GARFT	A
GART	A
GBBTNtex	B
GCALDD	A
GDMANE	B
GDPDPK	A
GDPMNH	A
GDPMNP	A
GDPTPDP	A
